"month";"categoryname";"total_sales"
"1996-07";Dairy Products;9231.7
"1996-07";Confections;7834.75
"1996-07";Produce;5204.25
"1996-07";Beverages;4297.5
"1996-07";Seafood;3466.55
"1996-07";Meat/Poultry;3403.90
"1996-07";Condiments;2731.70
"1996-07";Grains/Cereals;1609.5
"1996-08";Confections;6538.40
"1996-08";Beverages;6295.50
"1996-08";Dairy Products;6149.7
"1996-08";Seafood;5259.34
"1996-08";Meat/Poultry;4762.15
"1996-08";Condiments;2924.15
"1996-08";Produce;1018.0
"1996-08";Grains/Cereals;338.25
"1996-09";Confections;8073.50
"1996-09";Beverages;6414.50
"1996-09";Meat/Poultry;5676.00
"1996-09";Dairy Products;5363.5
"1996-09";Seafood;4223.40
"1996-09";Condiments;2331.50
"1996-09";Produce;1459.2
"1996-09";Grains/Cereals;1024
"1996-10";Beverages;10991.50
"1996-10";Dairy Products;10151.5
"1996-10";Seafood;8257.92
"1996-10";Condiments;5725.50
"1996-10";Meat/Poultry;4893.75
"1996-10";Confections;4757.87
"1996-10";Produce;3624.15
"1996-10";Grains/Cereals;3126.50
"1996-11";Beverages;24640.00
"1996-11";Dairy Products;9673.5
"1996-11";Condiments;8655.15
"1996-11";Meat/Poultry;7369.11
"1996-11";Confections;4046.63
"1996-11";Grains/Cereals;3249.75
"1996-11";Produce;3020.8
"1996-11";Seafood;1509.05
"1996-12";Dairy Products;15211.1
"1996-12";Beverages;14710.0
"1996-12";Meat/Poultry;11787.36
"1996-12";Confections;8196.85
"1996-12";Produce;4604.85
"1996-12";Seafood;4280.97
"1996-12";Grains/Cereals;2941.50
"1996-12";Condiments;1988.60
"1997-01";Beverages;30280.5
"1997-01";Dairy Products;12340.0
"1997-01";Confections;11993.91
"1997-01";Meat/Poultry;9725.29
"1997-01";Condiments;7130.00
"1997-01";Grains/Cereals;5712.75
"1997-01";Produce;3622.95
"1997-01";Seafood;2595.07
"1997-02";Grains/Cereals;4325.50
"1997-02";Meat/Poultry;4058.96
"1997-02";Condiments;3585.0
"1997-02";Confections;3467.25
"1997-02";Beverages;1835.00
"1997-02";Dairy Products;1800.0
"1997-02";Produce;847.2
"1997-02";Seafood;60
